Unnamed: 0,pid,filename,poet,title,year,poem,poemlength,epoch_year,epoch_poet
2776,70453,"Holz, Arno_UNTITLED_1886","Holz, Arno",UNTITLED,1886,"Das Volk hat lange, graue Ohren, Und seine Treiber nennen sich Rabbiner, Pfarrer und Pastoren.Verhaßt ist mir der Schwindelbau Der jesuitelnden Sophisten, Und überleg ich's mir genau, Hab ich Talent zum Atheisten.Tagtäglich schürt in mir den Spott Das fade Weihrauchduftgeträufel, Denn schließlich ist der liebe Gott Doch nur ein dummer Antiteufel!",59,Naturalismus,Naturalismus
2103,72551,"Holz, Arno_UNTITLED_1899","Holz, Arno",UNTITLED,1899,"Die Diele knackt!Mir graut vor meinem Schatten.Es hat einen dicken Krötenbauch, Geierkrallen, lange, schlenkernde Affenarme und Schweinsaugen . . .Ich leuchte in alle Winkel.Staub, abgeblätterter Kalk, tote Fliegen und Spinnweben.Wie ich mich endlich unter das Bett bücke, die Haare sträuben sich mir, das Licht schlottert, in eine Ecke geklemmt, sitzt das Biest da.Aus seinem Maul, halb zerkaut, hängt mein Pantoffel.Entsetzt stieren wir uns an.Leise, hin und her, ringelt sich sein Rattenschwanz.",87,Jahrhundertwende,Naturalismus
511,39035,"Sack, Gustav_Einsam_1900","Sack, Gustav",Einsam,1900,"Ich habe niemals Du zu euch gesagt – wohin ich kam und wen ich immer sprach und wenn er auch in meinen Armen lag, ich habe niemals Du zu ihm gesagt.Und doch hab ich mich nie darob beklagt und wenn die Sehnsucht auch mit wildem Schlag mein selbstgewähltes Klausnertum durchbrach, hab ich doch niemals Du zu euch gesagtund hatte immerdar an mir genug, berg ich doch ewig in mir Gott und Tier und Licht und Kot und heiligste Begier,und hielt mein stilles Zwiegespräch mit mir, bis über mir gleich einem Totentuch der Schrei der Einsamkeit zusammenschlug.",103,Jahrhundertwende,Expressionismus
2649,12497,"Wedekind, Frank_Abschied_1891","Wedekind, Frank",Abschied,1891,"Glück und Segen und alles Gute Gieß dir hernieder ein schützender Stern; Könnt ich's erkaufen mit meinem Blute, Oh, wie erkauft ich es dir so gern.Freu dich sorglos der sonnigen Tage! Klarblauer Himmel verkläret den Blick; Aber mit weicher melodischer Klage Dämpfe die Schmerzen im Mißgeschick.Durch die Täler und über die Höhen Wandr ich indessen die steinige Bahn; Fernher winkendes Wiedersehen Spornt die ermüdeten Schritte an.Breitet sich abends dann mir zu Füßen Reich die herrliche Lenzesflur, Drüben die dunklen Berge grüßen Und der Flüsse leuchtende Spur.Seh ich's alles weit übergossen Von der sinkenden Sonne Glut, Oh, wie wird mir das Herz erschlossen, Dein gedenkend mit neuem Mut.Dein gedenkend, steig ich zu Tale, Nacht umfängt mich mit düstren Wehn; Aber im Morgensonnenstrahle Weiß ich ein freudiges Wiedersehn.",142,Naturalismus,Naturalismus
1973,44046,"Lautensack, Heinrich_UNTITLED_1900","Lautensack, Heinrich",UNTITLED,1900,"Mir liegt die Welt, ein Buch voll Sprüchen, aufgeschlagen. Ihr, ihr könnt Verse sagen, wo mir ein Weisheitsspruch.Mir ist das Weib ein Bild, ein ungestilltes Sehnen, wo euch mit ein paar Tränen das Höchste sich erfüllt.Mir ist der Gott ein Traum. Ich bin des Traums Verkünder ... Ihr, ihr seid Gottes Sünder und eßt von seinem Baum ...",67,Jahrhundertwende,Jahrhundertwende
218,44952,"Heym, Georg_UNTITLED_1899","Heym, Georg",UNTITLED,1899,"Deine Wimpern, die langen, Deiner Augen dunkele Wasser, Laß mich tauchen darein, Laß mich zur Tiefe gehn.Steigt der Bergmann zum Schacht Und schwankt seine trübe Lampe Über der Erze Tor, Hoch an der Schattenwand,Sieh, ich steige hinab, In deinem Schoß zu vergessen, Fern, was von oben dröhnt, Helle und Qual und Tag.An den Feldern verwächst, Wo der Wind steht, trunken vom Korn, Hoher Dorn, hoch und krank Gegen das Himmelsblau.Gib mir die Hand, Wir wollen einander verwachsen, Einem Wind Beute, Einsamer Vögel Flug,Hören im Sommer Die Orgel der matten Gewitter, Baden in Herbsteslicht, Am Ufer des blauen Tags.Manchmal wollen wir stehn Am Rand des dunkelen Brunnens, Tief in die Stille zu sehn, Unsere Liebe zu suchen.Oder wir treten hinaus Vom Schatten der goldenen Wälder, Groß in ein Abendrot, Das dir berührt sanft die Stirn.Göttliche Trauer, Schweige der ewigen Liebe. Hebe den Krug herauf, Trinke den Schlaf.Einmal am Ende zu stehen, Wo Meer in gelblichen Flecken Leise schwimmt schon herein Zu der September Bucht.Oben zu ruhn Im Hause der durstigen Blumen, Über die Felsen hinab Singt und zittert der Wind.Doch von der Pappel, Die ragt im Ewigen Blauen, Fällt schon ein braunes Blatt, Ruht auf dem Nacken dir aus.",234,Jahrhundertwende,Expressionismus
906,10207,"Weissmann, Maria Luise_Schnee_1914","Weissmann, Maria Luise",Schnee,1914,"Träne des Himmels: der Regen fiel Tödlich wie Schwermut fällt Auf das geliebte zerbrochene Spiel Auf die verwesende Welt.Herbst schon rollte sie schwelgend hinab, Purpurner Untergang, Sanft nun wiegt sie zu Grab Eigener Wehmut Gesang.Da: im silbernen Blitz der Fröste Sieh, Erstarrung fällt, Selige Form; es tanzt im Kristall die erlöste Tanzt die gerettete Welt.",63,Expressionismus,Expressionismus
773,44963,"Heym, Georg_UNTITLED_1899","Heym, Georg",UNTITLED,1899,"Die Finsternis raschelt wie ein Gewand, Die Bäume torkeln am Himmelsrand.Rette dich in das Herz der Nacht, Grabe dich schnell in das Dunkele ein, Wie in Waben. Mache dich klein, Steige aus deinem Bette.Etwas will über die Brücken, Es scharret mit Hufen krumm, Die Sterne erschraken so weiß.Und der Mond wie ein Greis Watschelt oben herum Mit dem höckrigen Rücken.",68,Jahrhundertwende,Expressionismus
2720,46907,"Löns, Hermann_UNTITLED_1890","Löns, Hermann",UNTITLED,1890,"Harzkäse ist nicht jedermanns Sache, Ich aber finde riesig nett Als Zubiß zu der kleinen Lage Ein sogenanntes Schneider-Kot'lett.Harzkäse mit Schmalzbrot nennt man nämlich Im Volke so; und ich bestellt' Mir kürzlich das; kurz vor dem Ersten, Denn weiter langte nicht das Geld.»Woll'n Sie nun Vietz'schen oder Noah'schen?« So sprach der Wirt, und langte her Die Käse: »Ich kann Ihnen versichern, Daß durchgebrannt sie beide sehr.«Ich überlegte, dann streckte ich zeigend Nach der Marke Noah aus meine Hand: »Von diesem geben Sie mir, Herr Gastrat, Denn der ist schon länger durchgebrannt!«",115,Naturalismus,Naturalismus
1959,45677,"Rilke, Rainer Maria_Die dritte Elegie_1912","Rilke, Rainer Maria",Die dritte Elegie,1912,"Eines ist , die Geliebte zu singen . Ein anderes , wehe , jenen verborgenen schuldigen Fluß-Gott des Bluts . Den sie von weitem erkennt , ihren Jüngling , was weiß er selbst von dem Herren der Lust , der aus dem Einsamen oft , ehe das Mädchen noch linderte , oft auch als wäre sie nicht , ach , von welchem Unkenntlichen triefend gelächelt , Mutter . Wie sollte er es nicht lieben , da es ihm lächelte . hat ers geliebt , denn , da du ihn trugst schon , war es im Wasser gelöst , das den Keimenden leicht macht.Siehe , wir lieben nicht , wie die Blumen , aus einem einzigen Jahr ; uns steigt , wo wir lieben , unvordenklicher Saft in die Arme . O Mädchen , das zahllos Brauende ; nicht ein einzelnes Kind , sondern die Väter , die wie Trümmer Gebirgs uns im Grunde beruhn ; sondern das trockene Flußbett einstiger Mütter – ; sondern die ganze lautlose Landschaft unter dem wolkigen oder reinen Verhängnis – : Und du selber , was weißt du – , du locktest Vorzeit empor in dem Liebenden . Welche Gefühle wühlten herauf aus entwandelten Wesen . Welche Frauen haßten dich da . Was für finstere Männer regtest du auf im Geäder des Jünglings ? Tote Kinder wollten zu dir ... O leise , leise , tu ein liebes vor ihm , ein verläßliches Tagwerk , – führ ihn nah an den Garten heran , gieb ihm der Nächte Übergewicht ... ...",256,Expressionismus,Jahrhundertwende
