Unnamed: 0,pid,filename,poet,title,year,poem,poemlength,epoch_year,epoch_poet
741,21118,"Stadler, Ernst_UNTITLED_1898","Stadler, Ernst",UNTITLED,1898,"Form und Riegel mußten erst zerspringen, Welt durch aufgeschlossne Röhren dringen: Form ist Wollust, Friede, himmlisches Genügen, Doch mich reißt es, Ackerschollen umzupflügen. Form will mich verschnüren und verengen, Doch ich will mein Sein in alle Weiten drängen – Form ist klare Härte ohn' Erbarmen, Doch mich treibt es zu den Dumpfen, zu den Armen, Und in grenzenlosem Michverschenken Will mich Leben mit Erfüllung tränken.",78,Jahrhundertwende,Expressionismus
1981,68699,"George, Stefan_UNTITLED_1897","George, Stefan",UNTITLED,1897,Ich weiss du trittst zu mir ins haus  Wie jemand der an leid gewöhnt  Nicht froh ist wo zu spiel und schmaus  Die saite zwischen säulen dröhnt Hier schreitet man nicht laut nicht oft  Durchs fenster dringt der herbstgeruch  Hier wird ein trost dem der nicht hofft  Und bangem frager milder spruch Beim eintritt leis ein händedruck  Beim weiterzug vom stillen heim  Ein kuss — und ein bescheidner schmuck  Als gastgeschenk: ein zarter reim. ,111,Jahrhundertwende,Jahrhundertwende
231,10204,"Weissmann, Maria Luise_UNTITLED_1914","Weissmann, Maria Luise",UNTITLED,1914,"Ich seh dich wieder, Frühling, steigen ins Geäst. Ich seh den dürren Zweig, von deiner Faust umpreßt, Nun wieder glühn und blühn, ich seh den Wiesenpfad Bergauf dir unterm Fuß erstehn und wehn wie Saat.Dann wirst du wieder um die Gipfel streichen – Schnee, der vergeht, o Weiß, das zum Verbleichen Sich wieder fügt, talüber quillt, o Einsamkeit, Gelöst, hinströmend zärtlich wild und weit.",78,Expressionismus,Expressionismus
740,12768,"Lichtenstein, Alfred_Die Stadt_1913","Lichtenstein, Alfred",Die Stadt,1913,"Ein weißer Vogel ist der große Himmel. Hart unter ihn geduckt stiert eine Stadt. Die Häuser sind halbtote alte Leute.Griesgrämig glotzt ein dünner Droschkenschimmel. Und Winde, magre Hunde, rennen matt. An scharfen Ecken quietschen ihre Häute.In einer Straße stöhnt ein Irrer: Du, ach, du – Wenn ich dich endlich, o Geliebte, fände ... Ein Haufen um ihn staunt und grinst voll Spott.Drei kleine Menschen spielen Blindekuh – Auf alles legt die grauen Puderhände Der Nachmittag, ein sanft verweinter Gott.",92,Expressionismus,Expressionismus
928,26319,Klabund_UNTITLED_1909,Klabund,UNTITLED,1909,"In manchen Nächten tanzen die Skelette Am Friedhof. Auf den Kreuzen sitzen Frauen Und lassen sich von fleischlosen Kavalieren Um die Wette Auf Herz und Nieren Prüfen und bis ins Innerste ihres Herzens schauen. Da aber ist nichts als leerer Raum: Bloss Der Himmel hängt darin wie ein dunkelblauer Traum, Und die Sterne wandeln zwischen den Rippen gelb und gross, Und der Mond liegt wie ein goldener Embryo in ihrem hohlen Schoss.",78,Jahrhundertwende,Expressionismus
1254,40428,"Hofmannsthal, Hugo von_UNTITLED_1890","Hofmannsthal, Hugo von",UNTITLED,1890,"Merkst du denn nicht, wie meine Lippen beben? Kannst du nicht lesen diese bleichen Züge, Nicht fühlen, daß mein Lächeln Qual und Lüge, Wenn meine Blicke forschend dich umschweben?Sehnst du dich nicht nach einem Hauch von Leben, Nach einem heißen Arm, dich fortzutragen Aus diesem Sumpf von öden, leeren Tagen, Um den die bleichen, irren Lichter weben?So las ich falsch in deinem Aug, dem tiefen? Kein heimlich Sehnen sah ich heiß dort funkeln? Es birgt zu deiner Seele keine PforteDein feuchter Blick? Die Wünsche, die dort schliefen, Wie stille Rosen in der Flut, der dunkeln, Sind, wie dein Plaudern: seellos ... Worte, Worte?",129,Naturalismus,Jahrhundertwende
2018,70433,"Holz, Arno_UNTITLED_1886","Holz, Arno",UNTITLED,1886,Allwöchentlich ein Buch von zwanzig Bogen! Wir aber thun stets unsre alte Frage: Habt ihr euch immer noch nicht ausgelogen?Allwöchentlich ein Buch von zwanzig Bogen! Wir aber thun stets unsre alte Frage: Habt ihr euch immer noch nicht ausgelogen?,46,Naturalismus,Naturalismus
146,41312,"Trakl, Georg_In einem verlassenen Zimmer_1900","Trakl, Georg",In einem verlassenen Zimmer,1900,"Fenster, bunte Blumenbeeten, Eine Orgel spielt herein. Schatten tanzen an Tapeten, Wunderlich ein toller Reihn.Lichterloh die Büsche wehen Und ein Schwarm von Mücken schwingt. Fern im Acker Sensen mähen Und ein altes Wasser singt.Wessen Atem kommt mich kosen? Schwalben irre Zeichen ziehn. Leise fließt im Grenzenlosen Dort das goldne Waldland hin.Flammen flackern in den Beeten. Wirr verzückt der tolle Reihn An den gelblichen Tapeten. Jemand schaut zur Tür herein.Weihrauch duftet süß und Birne Und es dämmern Glas und Truh. Langsam beugt die heiße Stirne Sich den weißen Sternen zu.",100,Jahrhundertwende,Expressionismus
106,44889,"Heym, Georg_UNTITLED_1899","Heym, Georg",UNTITLED,1899,"Der Tag flieht westwärts, und der Abend sinkt. Von Osten naht die Nacht. Die Sterne steigen Von Meer und Inseln in dem kühlen Reigen. Des Meeres Welle leis am Ufer singt.Die Griechen schlummern traumlos bei den Toten. Da tut der Grund sich auf: Der Bote winkt Im Abgrund stehend. Und wie Wolken schwingt Der Schatten Heer sich auf und folgt dem Boten.Die Erde schließt sich hinter ihrem Zug. Sie folgen ihrem stummen Führer blind, Der Tiefe zu, der trauervolle Spuk.Durch Schächte lichtlos flattern sie geschwind. Durch Kluft und Höhlen geht der stumme Flug Zum Acheron, der kalt und dunkel rinnt.",113,Jahrhundertwende,Expressionismus
2652,46810,"Löns, Hermann_Abendlied_1890","Löns, Hermann",Abendlied,1890,"Rose Marie, Rose Marie, Sieben Jahre mein Herz nach dir schrie, Rose Marie, Rose Marie, Aber du hörtest es nie.Jedwede Nacht, jedwede Nacht, Hat mir im Traume dein Bild zugelacht, Kam dann der Tag, kam dann der Tag, Wieder alleine ich lag.Jetzt bin ich alt, jetzt bin ich alt, Aber mein Herz ist noch immer nicht kalt, Schläft wohl schon bald, schläft wohl schon bald, Doch bis zuletzt es noch hallt:Rose Marie, Rose Marie, Sieben Jahre mein Herz nach dir schrie, Rose Marie, Rose Marie, Aber du hörtest es nie.",113,Naturalismus,Naturalismus
2668,36633,"Holz, Arno_Einem »Freunde«_1896","Holz, Arno",Einem »Freunde«,1896,"Nur selten hab ich mich ereifert, Wenn du mich hinterrücks begeifert; Dein Grund ist jedenfalls sehr triftig, Auch kleine Kröten sind ja giftig!",27,Jahrhundertwende,Naturalismus
1342,40499,"Hofmannsthal, Hugo von_UNTITLED_1896","Hofmannsthal, Hugo von",UNTITLED,1896,"Entzieh dich nicht dem einzigen Geschäfte! Vor dem dich schaudert, dieses ist das deine: Nicht anders sagt das Leben, was es meine, Und schnell verwirft das Chaos deine Kräfte.",35,Jahrhundertwende,Jahrhundertwende
