Unnamed: 0,pid,filename,poet,title,year,poem,poemlength,epoch_year,epoch_poet
2297,36741,"Holz, Arno_13._1896","Holz, Arno",13.,1896,"Und als der Morgen um die Dächer Sein silbergraues Zwielicht spann, Da war der arme, bleiche Schächer Ein stummer und ein stiller Mann. In seines Mantels grauen Falten, So lag er da, kalt und entstellt – Führwahr, er hatte Recht behalten, Sein Reich war nicht von dieser Welt!Ein goldnes Sonnenstäubchen tippte Ihm auf die Stirn von ungefähr Und seine lieben Manuscripte Verschloss der Armencommissär. Sein Freund, der Doctor, aber zierte Brutal sich durch das Kämmerlein Und schneuzte sich und constatirte Verhungert! auf dem Todtenschein.Drei Frühlingstage später karrten Ihn Armenklepper vor das Thor! Ich sah's noch, wie sie ihn verscharrten – Die Sonne lachte, doch mich fror! Mich fror, und meine Hände suchten Umsonst zu würgen meinen Schmerz Und meine bleichen Lippen fluchten ... O Gott, mein Herz, mein armes Herz!So stand ich und vermaledeite Die Welt bis in ihr Nichts hinab; Der goldne Frühling aber schneite Ihm lächelnd Rosen übers Grab. Schon nahten unsichtbaren Zuges Die grossen Geister alter Zeit, Und drüber schwebte leisen Fluges Der Genius der Unsterblichkeit!",196,Jahrhundertwende,Naturalismus
2904,46643,"Löns, Hermann_Sommernacht_1890","Löns, Hermann",Sommernacht,1890,"Die Nacht ist stumm und düster, Der Mond gibt geizigen Schein, Des Rohres leises Geflüster Rauscht in den Park hinein.In meinem Herzen ist's dunkel, Kein karger, geiziger Schein, Des Mondes kaltes Gefunkel Dringt nicht in das Herz hinein.Viel duftende Blumen blühen – Es jubelt die Nachtigall, Ich möchte dem Jubel entfliehen – Doch hör' ich ihn überall.Hör' auf mit deinem Balzen – Mich schmerzt der jubelnde Schall – Das Sprudeln, Kollern und Balzen, Du dumme Nachtigall!",88,Naturalismus,Naturalismus
367,41420,"Trakl, Georg_Die Nacht_1900","Trakl, Georg",Die Nacht,1900,"Dich sing ich wilde Zerklüftung, Im Nachtsturm Aufgetürmtes Gebirge; Ihr grauen Türme Überfließend von höllischen Fratzen, Feurigem Getier, Rauhen Farnen, Fichten, Kristallnen Blumen. Unendliche Qual, Daß du Gott erjagtest Sanfter Geist, Aufseufzend im Wassersturz, In wogenden Föhren.Golden lodern die Feuer Der Völker rings. Über schwärzliche Klippen Stürzt todestrunken Die erglühende Windsbraut, Die blaue Woge Des Gletschers Und es dröhnt Gewaltig die Glocke im Tal: Flammen, Flüche Und die dunklen Spiele der Wollust, Stürmt den Himmel Ein versteinertes Haupt.",94,Jahrhundertwende,Expressionismus
114,50277,"Ball, Hugo_König Salomo_1923","Ball, Hugo",König Salomo,1923,"Als König Salomo beim Tempelbau Mit den Dämonen stritt, die ihn umsaßen, Ließ er in Mitternächten dumpf und grau Die Zymbel schlagen und Posaune blasen.An seiner Seite sah man eine Frau, Die aufgebaut war ganz aus Parabasen, Aus Saba kam sie wie ein weißer Pfau Und stand wie eine Mumie in Exstasen.Der König selber saß in seinem Zelt, Um dessen Öffnung Feuer hing in Fransen Und wies gebietend in die Unterwelt.Da stiegen Mauern auf gleich goldenen Schanzen Die Zedern fügten sich und ungezählt Sah man die Tiere und die Teufel tanzen.",97,Expressionismus,Expressionismus
912,26215,Klabund_Narkissos_1909,Klabund,Narkissos,1909,"Als Narkissos sich Im Teiche spiegelte, Erschrak er: Denn also schön schien ihm das Spiegelbild, Dass er in Liebe zu sich selbst Entzündet wurde. Er beugte sich hernieder Ins Ufergras Und küsste im Wasser Seine Lippen Und griff nach sich mit seinen Händen Und seufzte. Die Schönheit, Sann Narkissos, Wohnt auf dem Grund der Seen. Versunkene Städte müssen sein, In denen die Schönen wohnen Und mittags nur Im Sonnenlicht Werden sie sichtbar, Wird Schönheit Bild, Gesang und Lächeln Glanz und Kuss. Noch niemals sah ich nachts im Teich Den schönen Jüngling. Er schläft zur Dämmerung wohl Wie wir. Und ist ein Mensch Wie wir Nur Mensch der unteren Welt. Du Tiefer steig hinauf! Und werde Du! Wenn das Gymnasion du betrittst, Schweigt rings die Runde. Der Fechter lässt den Degen sinken, Der Ringer Blick und Arm, Und selbst die Greise und die Kinder Erschrecken süss vor deinem Angesicht.",170,Jahrhundertwende,Expressionismus
1998,7855,"Dehmel, Richard Fedor Leopold_Sternzauber_1891","Dehmel, Richard Fedor Leopold",Sternzauber,1891,"Wallst du Nacht, mit deinem Silberkranz? zieht in deine EwigkeitenAls ob treue Augen winken: alle Liebe sei enthüllt! als ob sanfte Grüße sinken: alle Sehnsucht sei erfüllt –will ein Stern sich nun entbreiten, in mein schwimmend Aug' er taucht, seligste Versunkenheiten in mein schwellend Herz er haucht.Zu ihm heben mich Gewalten, wie zu und ein Quellen, ein Entfalten seines Scheines mich umschlingtund entführt mich in die Zeiten, da noch keine Menschen sahn dieses Fühlen, dieses Gleiten, dieses rätselvolle Nahn.",93,Naturalismus,Jahrhundertwende
2640,36692,"Holz, Arno_Ausgepfiffen!_1896","Holz, Arno",Ausgepfiffen!,1896,"Das Leben ist eine Komödie Und geht oft über den Spass Und gleicht dann jener Tragödie, In der Einer den Andern frass.Und wenn wir's auch nicht wollen, Wir kommen doch alle drin vor Und spielen die nöthigen Rollen Vom Jean bis zum Heldentenor.Und wer mit seiner Visage Am besten zu gaunern gelernt, Erhält die nobelste Gage Und wird auch mitunter besternt.Ich studirte mir manche Falte Und trat vor das volle Haus, Doch blieb ich immer der Alte – Drum pfiff mich das Publikum aus!",90,Jahrhundertwende,Naturalismus
2769,19970,"Müller-Jahnke, Clara_Der Knabe von Budapest_1882","Müller-Jahnke, Clara",Der Knabe von Budapest,1882,"» Arbeit gebt uns und gebt uns Brot ! wir leiden Kälte , wir leiden Not : wir haben ein Recht aufs Leben – das Recht nur sollt ihr uns geben ! « Ein Heer von abertausend Mann , mit dröhnenden Schritten rückt es an , zur Seite ihm Gier und Schrecken – der Sturm rast um die Ecken.Der Schneesturm pfeift . Aus dem « – Und der Säbel klirrt und die Büchse knallt . » Zurück ! « – und die Stürmenden weichen über Wunde zurück und Leichen.Aufbrüllt die Menge vor Scham und Wut – und mitten in tosender Kämpferflut mit blonden , flatternden Haaren ein Knabe von dreizehn Jahren ! Der hebt die wehrende Hand – ein Schrei ! – ein Stauen und Stampfen . . . nun ist 's vorbei : im Straßengewühl zertreten ! Und fluchende Lippen beten . . . » Und wenn das Recht von Gottes Hand genagelt wär ' an des Himmels Wand , so wüchsen uns Geierschwingen – wir werden das Recht erringen ! Zurück – für heute ! ! – was heulst du , Weib ? Auf diesem zuckenden Kinderleib soll unser Recht auf das Leben , ein blutendes Mal , sich heben ! – « Des Führers Wort grollt hart und heiß ; und still wird es und leer im Kreis . Er kniet im fegenden Winde bei seinem toten Kinde.In wehenden Wirbeln treibt der Schnee und kühlt die Wunden und löscht das Weh , und hüllt in schützende Decken die blutige Saat der Schrecken .",256,Naturalismus,Naturalismus
2572,36581,"Holz, Arno_22._1896","Holz, Arno",22.,1896,"Nun stimmt sie wieder mir den Psalter Die liedervolle Maienzeit Und gaukelnd schwebt um mich der Falter, Das Sinnbild der Unsterblichkeit.Drum lebt mir wohl, ihr Pergamente Der winterlichen Hirntortur, Mich lockt ins Reich der Elemente Die neuerstandne Lenznatur.Umspielt von silberbleichem Lichte, Ein Grabfeld nach verlorner Schlacht, Ein Todtentanz ist die Geschichte, Ein Todtentanz um Mitternacht.Es bleibt der Ruhm, wie er auch glänze, Ein Blendwerk nur, ein eitler Schein; Mehr gilt als tausend welke Kränze Mir dieses Lebens goldnes Sein!",90,Jahrhundertwende,Naturalismus
1837,8034,"Dehmel, Richard Fedor Leopold_Venus Gloria_1891","Dehmel, Richard Fedor Leopold",Venus Gloria,1891,"Ich träume oft von einer bleichen Rose. Hell ragt ein Berg; sie blüht in seinem Schatten, zum fernen Lichte schmachtend, mit dem matten dem Blumenblick, aus ihrem dunklen Loose.Dann bangt sie mich; tief stockt mein Fuß im Moose. Doch weiter muß ich, muß das Ziel erreichen, den Gipfel mit den immergrünen Eichen; so steh ich schwankend zwischen Berg und Rose.Denn wie sich auch mein Fuß bemüht zu kämpfen, ich kann die bange Sehnsucht nicht mehr dämpfen, aus ihrem Schooß den reinen Duft zu schlürfen.Da –: Flügel –: frei! und an der Brust die Blume! schon naht der Hain mit seinem Heiligtume, wo auch die Rosen immergrünen dürfen ...",125,Naturalismus,Jahrhundertwende
