Unnamed: 0,pid,filename,poet,title,year,poem,poemlength,epoch_year,epoch_poet
1223,45640,"Rilke, Rainer Maria_Die Flamingos_1900","Rilke, Rainer Maria",Die Flamingos,1900,"In Spiegelbildern wie von Fragonard ist doch von ihrem Weiß und ihrer Röte nicht mehr gegeben, als dir einer böte, wenn er von seiner Freundin sagt: sie warnoch sanft von Schlaf. Denn steigen sie ins Grüne und stehn, auf rosa Stielen leicht gedreht, beisammen, blühend, wie in einem Beet, verführen sie verführender als Phrynesich selber; bis sie ihres Auges Bleiche hinhalsend bergen in der eignen Weiche, in welcher Schwarz und Fruchtrot sich versteckt.Auf einmal kreischt ein Neid durch die Volière; sie aber haben sich erstaunt gestreckt und schreiten einzeln ins Imaginäre.",104,Jahrhundertwende,Jahrhundertwende
1773,45716,"Rilke, Rainer Maria_6._1900","Rilke, Rainer Maria",6.,1900,"Rose, du thronende, denen im Altertume warst du ein Kelch mit einfachem Rand. der unerschöpfliche Gegenstand.In deinem Reichtum scheinst du wie Kleidung um Kleidung um einen Leib aus nichts als Glanz; aber dein einzelnes Blatt ist zugleich die Vermeidung und die Verleugnung jedes Gewands.Seit Jahrhunderten ruft uns dein Duft seine süßesten Namen herüber; plötzlich liegt er wie Ruhm in der Luft.Dennoch, wir wissen ihn nicht zu nennen, wir raten... Und Erinnerung geht zu ihm über, die wir von rufbaren Stunden erbaten.",91,Jahrhundertwende,Jahrhundertwende
2569,69059,"Holz, Arno_UNTITLED_1898","Holz, Arno",UNTITLED,1898,"Um mein erleuchtetes Schloss wehn Cypressen.Ich höre sie nicht. Ich fühle sie.Alle meine Lichter werden erlöschen, der letzte Geigenton verklingt, durchs Fenster in meinem brechenden Blick spiegelt sich der Mond.",34,Jahrhundertwende,Naturalismus
2212,36631,"Holz, Arno_Kritiksucht_1896","Holz, Arno",Kritiksucht,1896,"Wenn die Kritiksucht unsre Kunst, En masse schablonenhaft verhunzt, Fällt mir der Vers ein, der famose: Du stinkst, sprach einst das Schwein zur Rose.",30,Jahrhundertwende,Naturalismus
2865,23974,"Henckell, Karl_UNTITLED_1896","Henckell, Karl",UNTITLED,1896,"Nehmen's die Krämer und Mäkler dir krumm – Geh in die Sonne, scher dich nicht drum!Sonne mit goldig erwärmendem Licht Gibt dir vom Leben und marktet nicht.Gütig und milde voll herrlicher Macht, Schüttet sie über dich Schimmer und Pracht.Würdest du Krösus und Kaiser zumal, Küßte dich mütterlich segnend ihr Strahl.Die dich mit lachenden Lippen berührt, Hat sie dein liebendes Leben verspürt?Über die Maßen beglückt ihre Huld, Jeglichem Schenkenden schenkt sie die Schuld.Pfiffige Schächer, mit Großmut verbrämt, Geht aus der Sonne, wenn ihr euch schämt!",98,Jahrhundertwende,Naturalismus
1124,45638,"Rilke, Rainer Maria_Die Sonnenuhr_1900","Rilke, Rainer Maria",Die Sonnenuhr,1900,"Selten reicht ein Schauer feuchter Fäule aus dem Gartenschatten, wo einander Tropfen fallen hören und ein Wander- vogel lautet, zu der Säule, die in Majoran und Koriander steht und Sommerstunden zeigt;nur sobald die Dame (der ein Diener nachfolgt) in dem hellen Florentiner über ihren Rand sich neigt, wird sie schattig und verschweigt –.Oder wenn ein sommerlicher Regen aufkommt aus dem wogenden Bewegen hoher Kronen, hat sie eine Pause; denn sie weiß die Zeit nicht auszudrücken, die dann in den Frucht- und Blumenstücken plötzlich glüht im weißen Gartenhause.",99,Jahrhundertwende,Jahrhundertwende
207,41339,"Trakl, Georg_3_1900","Trakl, Georg",3,1900,"Wie scheint doch alles Werdende so krank! Ein Fieberhauch um einen Weiler kreist; Doch aus Gezweigen winkt ein sanfter Geist Und öffnet das Gemüte weit und bang.Ein blühender Erguß verrinnt sehr sacht Und Ungebornes pflegt der eignen Ruh. Die Liebenden blühn ihren Sternen zu Und süßer fließt ihr Odem durch die Nacht.So schmerzlich gut und wahrhaft ist, was lebt; Und leise rührt dich an ein alter Stein: Wahrlich! Ich werde immer bei euch sein. O Mund! der durch die Silberweide bebt.",91,Jahrhundertwende,Expressionismus
1356,39913,"Ringelnatz, Joachim_Frühling_1908","Ringelnatz, Joachim",Frühling,1908,"Die Bäume im Ofen lodern. Die Vögel locken am Grill. Die Sonnenschirme vermodern. Im übrigen ist es still.Es stecken die Spargel aus Dosen Die zarten Köpfchen hervor. Bunt ranken sich köstliche Rosen In Faschingsgirlanden empor.Ein Etwas, wie Glockenklingen, Den Oberkellner bewegt, Mir tausend Eier zu bringen, Von Osterstören gelegt.Ein süßer Duft von Havanna Verweht in ringelnder Spur. Ich fühle an meiner Susanna Erwachende neue Natur.Es lohnt sich manchmal, zu lieben, Was kommt, nicht ist oder war. Ein Frühlingsgedicht, geschrieben Im kältesten Februar.",97,Jahrhundertwende,Jahrhundertwende
2515,70384,"Holz, Arno_UNTITLED_1886","Holz, Arno",UNTITLED,1886,"Ich weiß, dies ist das Haus „Zu den drei Nymphen“, Doch setze dich nicht gleich mir auf den Schooß Und kokettire nicht mit deinen Strümpfen!Dein Wort ist wie ein tönendes Geschell, Du wirst dies junge Herz mir nicht beschwatzen; Du bist ja doch nur eine Biermamsell Und feil und falsch wie alle diese Katzen.Durch dein Gelächter zischt die rothe Lust, Die Goldgier grub sich tief in deine Züge Und luftgepolstert thront auf deiner Brust Die gummifabricirte Doppellüge.Was dir an Locken baumelt um die Stirn, Ist mühsam nur gestutzt mit Papilloten Und dein vertracktes kleines Weibsgehirn Ist bis zum Platzen vollgepfropft mit Zoten.Du machst die Augen zu und schnalzst: Wie schön! Und nippst beim Nachbargast vom Blut der Reben Und denkst dabei nur an das Lustgestöhn, Als du dich gestern Nacht ihm preisgegeben.Dein Element ist recht die Völlerei, Das Austernfressen und Champagnersaufen .... Doch Teufel! schlägt die Stutzuhr dort schon Zwei? Da, nimm mein Portemonnaie — und laß mich laufen!",178,Naturalismus,Naturalismus
1153,8008,"Dehmel, Richard Fedor Leopold_UNTITLED_1891","Dehmel, Richard Fedor Leopold",UNTITLED,1891,"Ich der seine hellsten Gluten wagt? Er glüht. Und ob er feuertrunken verglüht zu Asche über Nacht: er glüht! sein »Lieber kein Glück, nur lauter sein«, nur lauter!Ich hab ein Woge, die zur Brandung schäumt? Kennst du den Sturmgeist, der die tolle springende Woge noch toller bäumt? Steil starrt die Klippe: brecht, Wogen, brecht – »Nur keinen Schritt abseits vom Recht«, keinen Schritt!In meine tiefste Seelenstille horcht mein erstauntes Ohr hinab; da ringt ein Trieb, da wächst ein Wille, den eine tiefere Macht mir gab! Ich bin kein Frevler am Geschick – »Nur keine Schuld, lieber kein Glück«, nein: keine Schuld.Seit meiner Jugend droht im Rücken mir eine flach erhobne Hand; ich muß mich mit mir selbst beglücken, seit ich die Welt so feige fand! Du meine Inbrunst, du mein Recht – »O Gott, ich stürbe, würd'ich schlecht«,",178,Naturalismus,Jahrhundertwende
