,pid,filename,poet,title,year,poem,poemlength,epoch_year,epoch_poet
355,41411,"Trakl, Georg_UNTITLED_1900","Trakl, Georg",UNTITLED,1900,"Ihr großen Städte Steinern aufgebaut In der Ebene! So sprachlos folgt Der Heimatlose Mit dunkler Stirne dem Wind, Kahlen Bäumen am Hügel. Ihr weithin dämmernden Ströme! Gewaltig ängstet Schaurige Abendröte Im Sturmgewölk. Ihr sterbenden Völker! Bleiche Woge Zerschellend am Strande der Nacht, Fallende Sterne.",52,Jahrhundertwende,Expressionismus
463,26390,Klabund_Abschiedsworte an einen Nordpolarfahrer_1909,Klabund,Abschiedsworte an einen Nordpolarfahrer,1909,"Lebe wohl, die Träne hängt am Blicke, Welcher dich von dannen gleiten sieht. Dir erfüllt der Horizont sich zum Geschicke, Und der Möwenruf zum Lied.Ewige Ewigkeiten bist du, Skage, Die entmenschte Menschheit los. Unser Rattennest scheint dir nur eine Sage, Und die Zeitung dient als Brennstoff bloß.Ach, der Nordpol ist die einzige Gegend, Wo die Parze Friedensstoffe webt, Wo man sich von hier nach dort bewegend Seiner Seele schönster Regung lebt.Weder daß man morgens zum Ersatztee Den Ersatzgeist aufgetischt bekommt – Nein, der Eiskaffee ist hier am Platze, Und die kalte Schnauze ist's, die frommt.Denn der Eisbär ist ein edler Räuber, Und ein stummer Bruder der Pinguin. Möwen sind die leichten Zeitvertreiber, Und ein biedrer Freund der Schneekamin.Kehrst nach manchen Jahren dann zurück du – Liegt Europa brach von Menschen leer. Bleib in deinem weißen Nordpolglück – Du findest eine goldne Welt nicht mehr.",164,Jahrhundertwende,Expressionismus
250,43981,"Stramm, August_Mondblick_1894","Stramm, August",Mondblick,1894,An meine Augen spannt der Schein. Das Schläfern glimmt in deine Kammer Gelbt hoch hinauf Und Schwület mich! Matt Bleicht das Bett Und Streift die Hüllen Stülpt frech das Hemd Verfröstelt Auf den Mond. Jetzt Leuchtest du Du Leuchtest leuchtest! Glast Blaut die Hand In glühewehe Leere Reißt nach den Himmel Mond und Sterne Stürzen Schlagen um mich Wirbeln Tasten Halt Halt Halt! Und Zittern aus zu Ruh Am alten Platz! In Deinem Fenster droben Gähnmüd Blinzt Die Nacht!,86,Jahrhundertwende,Expressionismus
361,41417,"Trakl, Georg_Der Schlaf_1900","Trakl, Georg",Der Schlaf,1900,"Verflucht ihr dunklen Gifte, Weißer Schlaf! Dieser höchst seltsame Garten Dämmernder Bäume Erfüllt von Schlangen, Nachtfaltern, Spinnen, Fledermäusen. Fremdling! Dein verlorner Schatten Im Abendrot, Ein finsterer Korsar Im salzigen Meer der Trübsal. Aufflattern weiße Vögel am Nachtsaum Über stürzenden Städten Von Stahl.",52,Jahrhundertwende,Expressionismus
934,26360,Klabund_Unglücksfall_1909,Klabund,Unglücksfall,1909,"Es stehen vor dem Hebekran Ein kleines Kind, ein Hund, ein Mann. Die Eisenkette rollt und rinnt, Es staunen Mann und Hund und Kind. Da saust sie nieder auf den Grund, Zerschmettert Mann und Kind und Hund. Gemäßigt naht die Polizei, Ein Chemiker ist auch dabei, Bis er den Totbestand befund: Ein kleines Kind, ein Mann, ein Hund.",71,Jahrhundertwende,Expressionismus
947,10140,"Weissmann, Maria Luise_Die Marionetten_1914","Weissmann, Maria Luise",Die Marionetten,1914,"Wir lieben unsre schlanken Puppen sehr – Ihre weißen Gesichter sind einsam Über Leibern, fromm von Zerbrechlichkeit – Und spielen gern die seltsamen VerkettungenIhrer Arme, wenn sie sich lieben. Tragische Gebärde ist ihnen zuteil, Ihr dunkles Schicksal verstößt uns, Sie sind unter fremden Sternen.Manchmal greift uns ihr Schweigen ans Herz. Dann springt – heiße Verwunderung! – Tönender Schrei unsrer Inbrunst Von ihrem entfalteten Mund.",72,Expressionismus,Expressionismus
95,21134,"Stadler, Ernst_UNTITLED_1898","Stadler, Ernst",UNTITLED,1898,"Da seine Gnade mir die Binde von den Augen schloß, Troff Licht wie Regen brennend. Land lag da und blühte. Ich schritt so wie im Tanz. Und was davor mich wie mit Knebeln mühte, Fiel ab und war von mir getan. Mich überfloß Das Gnadenwunder, unaufhörlich quellend – so wie junger Wein Im Herbst, wenn sie auf allen goldnen Hügeln keltern, Und rings die Hänge nieder Saft aufspritzt und flammt in den Behältern, Flammte vor mir die Welt und ward nun ganz erst mein Und meines Odems Odem. Jedes Ding war neu und gieng In tiefer Herzenswallung mir entgegen, sich zu schenken, so wie am Altar, Des Opfers freudig, ganz in Glück gekleidet. Und in jedem war Der Gott. Und keines war, darauf nicht seine Güte so wie Hauch um reife Früchte hieng. Mir aber brach die Liebe alle Türen auf, die Hochmut mir gesperrt: In Not Gescharte, Bettler, Säufer, Dirnen und Verbannte Wurden mein lieb Geschwister. Meine Demut kniete vor dem Licht, das fern in ihren Augen brannte, Und ihre rauhen Stimmen schlossen sich zum himmlischen Konzert. Ich selbst war dunkel ihrem Leid und ihrer Lust vermengt – Welle im Chor Auffahrender Choräle. Meine Seele war die kleine Glocke, die im Dorfkirchhimmel der Gebete hieng Und selig läutend in dem Überschwang der Stimmen sich verlor Und ausgeschüttet in dem Tausendfachen untergieng.",253,Jahrhundertwende,Expressionismus
926,24344,"Rubiner, Ludwig_Geburt_1900","Rubiner, Ludwig",Geburt,1900,"Vor unsrer Geburt, in der grünen Südsee platzte die Erde und das Wasser, Tausend Menschen saßen wie Schnecken auf großen Blättern in Hütten und versanken keuchend. Vor Marseille fielen die roten Schiffe um, das Meer schlug vom Mond herab. Die Dampfer schnurrten in den Abgrund, lächerliche Insekten. Als wir geboren wurden, zog Feuer durch die Luft. Die Schwärme des Feuers flogen um die Erde. Wehe, wer nicht sehen wollte! Tausend Menschen, stillhockende Schnecken, waren zu Staub zerplatzt. Die Tage erblichen für die glühenden Abende. Die Nächte schwangen rote Palmblattflammen über Berlin, Die Abende waren gelbe Tiere über der Friedrichstraße. Berlin, aus spitzen Plätzen, grauen Nebenstraßen, quoll das Blau der Vulkane. Die Frauen waren alle allein, die Männer reckten sich auf, Die Schenkel liefen durch Berlin, heiße Haarberge bogen hoch. Die Sonne ging immer unter. Die Abendstrahlen, heiß, quollen aus den Männern. Die Häuser waren kalkig und bleich. Durch dunkle Zimmer wankte die Stadt, die Blinde.Wir wurden geboren, Strahlenlicht kreiste abends über unseren Mündern, Grüne Südsafthügel hingen vom Mond über uns; Wir rissen unsere Augen von unserem Blut auf. Der Himmel flog über alle Straßen der Stadt. In der Vorstraße aus Zaun und Stein wartete die grauhaarige Mauerdirne auf die Soldaten. Wir wußten, daß es andere Länder gibt. In möblierten Zimmern sannen russische Stirnen über Bombenattentaten. In den Varietés wurden die fünf englischen Puppenmädchen geliebt. Die Menschen sitzen in schwarzen Röcken, essen und werden alt. Die hohlen Häuserwände waren lose und grau. Kamerad, Sie liefen die Straße auf und nieder, Sie waren blaß vor dem heiligen Panoptikumsbau.Die Luft stand mit Sternen in Ihnen, der Tag war noch hell. Die Menschen waren dick und rauchten Zigarren. Niemand sah sie an. Die Stadt schwebte, es war still im Abendbrand, die Häuser zerfielen unten. Die Menschen gingen schwer. Kamerad, Sie waren allein. Niemand hatte das Licht gesehen. Um die Erde sprühte der südliche Schweiß des Vulkans. Niemand sah. Berlin schmatzte rollend.Es war nicht mehr Licht durch buntes Abendglas, Nicht mehr Fackelwogen hinter Spielpapier: Plammenschirme vom Himmel bogen um unseren Kopf. Die Luft schmolz im langen Lichtwind übers Feld, Drunten lag der harte Sand rötlich wie getretener Mob. Wir heulten ins Grüne übers Tempelhofer Feld. Vor schwarzen Fensterschwärmen der schweißigen Hinterhauswände Stießen wir unsere Flugdrachen hoch in die Windfarben und sogen den Glanz. Berlin, Ihr dachtet an Geld. Kamerad, Ihr Jungenhaar zackte schwarze drohende Felsen über den gepfeilten Brauen. Sie haßten den blassen Schimmel der schlaffen Hausdächer. Wir kannten uns nicht.Damals liebte ich sie so. O wären wir ausgerückt! Wir saßen in verdorrten Halbgärten. Soldaten tranken aus Bierseideln. Wir sahen durch grüne Stuhllehnen auf hölzerne Karussells. Vor alten Frauen in Würfelzelten zerfransten sich gegossene Glasvasen. Wir griffen unsere Hand zum letztenmal. Wir warteten. O vielleicht stand das feurige Licht gleich an unserer Haut: uns allen!O wir wußten alles. Die grüne Farbe glänzte am Wirtshausstaket (Einmal gab es wohl Zeiten, da grünten die Frühlinge so fett). Es war alles für uns und für die anderen gemacht, Aber früher waren die Tage dumpf und grau, und dies galt als Pracht. Wir sahen uns an, hinter ihren Augen braun und im vierzehnten Jahr Schwamm Hingabe, wie Blutstropfen rollte ihr Lächeln zum Hals, weil das neue Licht um uns war.",626,Jahrhundertwende,Expressionismus
492,26269,Klabund_Weib_1909,Klabund,Weib,1909,"Wie du Wind vergebens Alle Lüfte regst, Hab ich Sinn des Lebens, Weib, wenn du mich trägst.Bin ich dir im Tiefen Immer Tier und Sohn: Die dich Göttin riefen, Riefen Hündin schon.Lieg ich dir im Schosse Gramzerkrampft: Fühl ich, wie die grosse Welt sich selbst zerstampft.",54,Jahrhundertwende,Expressionismus
639,10196,"Weissmann, Maria Luise_UNTITLED_1914","Weissmann, Maria Luise",UNTITLED,1914,"Ich liebte Linnen und die sanften Seiden Strich meine Hand mit Lust. ER flüsterte: »Das harte Fell des Hirsches wird dich kleiden.«Ich saß beim Mahle und mein Blick war Schein Des gelben Weins. Er sagte laut und hell: »Die bittre Wurzel wird dir Speise sein.«Mein Schloß war fest... Und als ich mich gerettet Noch zu der höchsten Zinne, rief Er dort: »O guter Schlaf, auf Dorn und Steingebettet!«Ich lag bei ihr. In ihrer Brüste Bucht Träumt ich den Heimat-Traum. Er hat gewußt, Ich würde einsam gehen und verflucht.So brach ich auf. Denn daß ich ihm geglaubt, Zwang mich sein unbesiegbar sichres Wissen. Groß hing sein Lächeln über meinem Haupt.",134,Expressionismus,Expressionismus
346,41321,"Trakl, Georg_Allerseelen_1900","Trakl, Georg",Allerseelen,1900,"Die Männlein, Weiblein, traurige Gesellen, Sie streuen heute Blumen blau und rot Auf ihre Grüfte, die sich zag erhellen. Sie tun wie arme Puppen vor dem Tod.O! wie sie hier voll Angst und Demut scheinen, Wie Schatten hinter schwarzen Büschen stehn. Im Herbstwind klagt der Ungebornen Weinen, Auch sieht man Lichter in der Irre gehn.Das Seufzen Liebender haucht in Gezweigen Und dort verwest die Mutter mit dem Kind. Unwirklich scheinet der Lebendigen Reigen Und wunderlich zerstreut im Abendwind.Ihr Leben ist so wirr, voll trüber Plagen. Erbarm' dich Gott der Frauen Höll' und Qual, Und dieser hoffnungslosen Todesklagen. Einsame wandeln still im Sternensaal.",119,Jahrhundertwende,Expressionismus
398,12820,"Lichtenstein, Alfred_3_1902","Lichtenstein, Alfred",3,1902,"Ich weiß, ich weiß: dies Leben ist gesund. Zwar hört man meine Griffe kaum, Doch hau ich mir die Hände wund. Statt auf dem verfluchten Kasernenhof Könnte ich jetzt in einer Wiese sein.Vor versammelter Mannschaft fängt ein Mann Bitterlich zu weinen an.",48,Jahrhundertwende,Expressionismus
733,16664,"Engelke, Gerrit_UNTITLED_1912","Engelke, Gerrit",UNTITLED,1912,"Es traf mein Ohr ein Machtposaunenton, Ich sprang zu dem, was meine Sinne hörten: Es war, als wenn wo Saurushirsche röhrten, Es war so seltsamgroßer Grollerton – Da stand Er! stand ein Mann auf höchster Spitze! Da blies Er, mächtig, mächtig wie voll Zorn Vom lichtgehüllten Wolkendonnersitze, – Mein Hirn war ob des Wunders ganz verworrn – Ich lag mit offnem Munde Am tiefen, tiefen Grunde – Der Ton noch dicker quoll und schwoll und schwoll: Mein Grund fing langsam an zu wanken, Der Wolkenmensch dort oben blies wie toll, Ein Zittern hob des Berges Flanken Und schwarze Wolken krallten sich hochoben fest Und Sturm begann am Fels zu wühlen, Als wollte er den Mann Von seiner Riesenkanzel spülen, Und alles Licht ward jäh vom Dunkel fortgepreßt, Und drohend rührten sich die Donnertrommeln – Doch fest stand hoch der Weltentöneschichter: Er brüllte rasendlauter durch den Trichter – Noch grauser schwoll das finstre Rommeln – Der Riese aber blies – Da brach am Berg der erste Donnerkrach, Und Ein Blitz sprang ihm nach Und hieb Den Mann vom Felsen! Die Tuba sprang Der Himmel sprang Das Allgeschrei in Nacht ertrank – – Ich weiß nicht mehr, wo alles blieb.",220,Expressionismus,Expressionismus
112,39038,"Sack, Gustav_Der Morgen_1900","Sack, Gustav",Der Morgen,1900,"Es kräht der Hahn! Da nimmt die Maid sich noch einmal den Liebsten kräftig zwischen ihre Beine, da schreibt die allerletzte Zahl der Geizhals müde unter seine Scheine und einer ganzen Nacht gehäufte Qual fällt mich zum letzten Male würgend an – Gottlob! da kräht der Hahn!",51,Jahrhundertwende,Expressionismus
194,21078,"Stadler, Ernst_Totenfahrt_1898","Stadler, Ernst",Totenfahrt,1898,"In weichem Wiegen schaukelte die Brandung Die Königsbarke, die In Flor getaucht hinaussah auf die See. Am Ufer standen Die Asen all und sahen wortlos, wie Die Abendglut in Baldurs Locken weinte. Wie Rosenduften schwamm's durch goldne Lüfte, Das sonnenuntergangs, wenn alle Blumenkelche Ihr Sehnen glühender in den Abend gießen, Der Sommerwind auf Sammetflügeln stahl. Auflodernd knirscht die Barke in die Flut.Stumm standen Die Asen – bleich ... Und sahen Aufs Meer hinaus, wo fern Die Glut verleuchtete. Und es war, Als wiche weit durch goldne Abendthore Ihr Glück und ihre Jugend in die Nacht ...",108,Jahrhundertwende,Expressionismus
272,10201,"Weissmann, Maria Luise_Gesang an die Stadt_1914","Weissmann, Maria Luise",Gesang an die Stadt,1914,"Du brachst im schönen Leib der Landschaft auf. Wie eine Eiterbeule aufbricht, brachst du Auf in den Tag und liegst du gleißend nun Unter den Sternen nachts.Nun gehen alle großen Straßen zu dir hin: Zu dir die Mühsal-Straßen, staubbedeckt, Die Eisen-Adern, und die unsichtbaren Straßen der Luft spannen sich nach dir hin.Und alle großen Ströme münden in dich ein: In dich die breiten, breiten Ströme Blut, Die Ströme Lust, die Ströme Schmerz, es stürzen Zu dir die tausendfachen Ströme Tod.Daß, wer in dich trieb, Wirbel, sieht zurück Und sieht nur Weg: sieht noch in Kindheitsjahren Von Kindheitsdrachen sehnsuchtsvoll befahren Nach dir ein ziellos reines Blau.",121,Expressionismus,Expressionismus
