pid,filename,poet,title,year,poem,poemlength,epoch_year,epoch_poet
26175,Klabund_34_1909,Klabund,34,1909,"Wenn dies das Ende wäre von allen Dingen, Ich sänge hell die Süße aller Zonen. Ich würde gern bei alten Frauen wohnen Und mich im Tanz der Feuerländer schwingen.So aber bleibt ein Letztes ungesagt. Aus allen Totenmündern schreit es: gestern. Und: morgen! weinen Kinder, unbeklagt. O meine armen Brüder, meine Schwestern!",62,Jahrhundertwende,Expressionismus
21074,"Stadler, Ernst_UNTITLED_1898","Stadler, Ernst",UNTITLED,1898,"Aus heiligen Grotten , wo sie sich barg vor dem grellen Rauschen des Tages , kam leise die Nacht . Schweigend blickt sie um sich mit den sehnsuchtsstillen Augen , in deren dämmernde Tiefen du tauchst wie in des ewigen Meeres verschwimmende , dunkle Fernen . Scheu flieht vor ihrem milden Glanze der harte Tag . Langsam gleitet sie und schweigend heran , und den Vögeln : Nehmet , nehmet hin meiner Seele tiefinnerstes Wogen . Siehe , der Mond sprüht über euch bleichen , süßen Tau der Stille ... Siehe , vor euch ausgegossen liegt schimmernde Schönheit ... Trinket , o trinket der überquellenden Fülle ! « Raunen und Rauschen wandert über die Welt . Über Fels und Moor , Baum und Berg , Blumen und Haide . Eine aber kann 's nicht länger bergen . Die Nachtigall . Aufjauchzen muß sie . Aller Welt künden hehrsten Glückes Überschwang . Jauchzen entquillt ihr – aber es schluchzt hervor wie zehrendes Klagen . Wie das höchste Glück Thränen erpreßt , und reinste Schönheit einhaucht den Atem süßester Wehmut . Und sie klagt ... Klagt und lauscht und klagt wieder ... Sank ich dämmernd nieder dir zu Füßen , milde Königin ? Wache ich , oder legtest leise du deine Hand mir aufs Auge und löstest sanft die Spangen schwerenden Sinnens , daß ich lächelnd hingleite durch die stillen Gewässer des Traumes ? Ich weiß es nicht . – Aber schmeichelnd wie junger Lenzwind flüstert mir ins Ohr deine Stimme und das schluchzende Jauchzen der Nachtigall ...",256,Jahrhundertwende,Expressionismus
8627,"Thoma, Ludwig_UNTITLED_1894","Thoma, Ludwig",UNTITLED,1894,"Wo der Orang-Utan Zähne fletscht, Stand Caruso dort. Eine Dame hat er zart getätscht, Zornig ging sie fort.Wo mit rotem Hintern der Mandrill In dem Käfig hüpft, Da versucht er nochmals, ob sie will; Aber sie entschlüpft.Wo sich der Gorilla emsig floht, War 's das drittemal, Daß Caruso seine Reize bot Und ihr anempfahl.Da entfuhr ihr doch ein lauter Schrei, Weil er sie gezwickt, Und sogleich hat Gott die Polizei Zürnend hergeschickt.Ja, was ist's, wenn wirklich ein Tenor Eine Dame kneift? Kommt dies jemand so befremdlich vor, Daß er 's nicht begreift?Wenn sich jede Holde noch entzückt Vor den Sänger warf, Ist damit nicht deutlich ausgedrückt, Daß er alles darf?",130,Jahrhundertwende,Jahrhundertwende
14440,"Lachmann, Hedwig_UNTITLED_1891","Lachmann, Hedwig",UNTITLED,1891,"Von einer Stimme eignem Klang getroffen Erbebte ich – zu lang getragne Leiden, Verjährter Gram, verzagtes Sichbescheiden, Und scheue Armut, die nicht wagt zu hoffen.So dringen täglich dir zahllose Zeichen An Herz und Sinn, dich tiefer zu bewegen, Und fremdes Leben pocht mit heissen Schlägen, Den Pulsschlag deines Lebens zu erreichen.Trägst du schon schwer am eigenen Geschicke? Und sollst dazu ein Bruderlos noch tragen – Die stummen Winke, die versteckten Klagen, Das trübe Lächeln, die verstörten Blicke.Die Not der Tausende, die dich umgeben, Und was verloren irrt verlassne Bahnen, Will sich mit dir verbrüdern, will dich mahnen, Will Blutteil werden, Teil von deinem Leben.",122,Naturalismus,Naturalismus
26379,Klabund_Lied der Zeitfreiwilligen_1909,Klabund,Lied der Zeitfreiwilligen,1909,"Ich bin ein Zeitfreiwilliger, Und stehle dem lieben Gott die Zeit. Es lebt sich billiger, Wenn man: Nieder mit den verfluchten Spartakisten schreit. Fuffzehn Märker den Tag. Daneben Allens frei. Es ist ein herrliches Leben. Juchhei.Ich verdiente mir meine Sporen Bei Kapp. Als dessen Sache verloren, Zog ich ab. Ich gehöre wieder zu den Regierungstreu'n Und habe den Schutz der Verfassung erkoren. Ich breche alle Eide von acht bis neun, Die ich von sieben bis acht geschworen.Neulich bei Mechterstädt: Pst... Zeigten wir's den Arbeiterlaffen. Falls es irgendwo ruhig ist, Muß man eben künstlich Unruhe schaffen. Laßt die Maschinengewehre streichen! Ins Kabuff. Immer feste druff. Unsre Anatomie braucht Leichen.",133,Jahrhundertwende,Expressionismus
8526,"Thoma, Ludwig_Pommernbank-Alphabet_1894","Thoma, Ludwig",Pommernbank-Alphabet,1894,"Ein großer Wenn man ihn nicht für Kirchen macht.Der Bau der Kirche war Und trotzdem durchausSo gut wie unten zu entbehren.Ein allzu großes Gereicht nicht immerdar zum Ruhm.Verspätung wirkt nicht angenehm.Der Ein glattesDas Hat durch dieNach Herkunft frägt die hohe Welt Nur einen Mann, niemals dasVor dem DerDie Nicht jedeDas Gereicht dem Himmlischen zu Nutz.Von Mirbach achtet nicht den Spott; Er tat es für den liebenDer Und mancher wird dadurch verführt.Nicht jeder, der im Glauben Ist mit Erkenntnistau befeuchtet.Bei M da denkt man so herum AnIm Bankprozeß weht eine Luft, Nicht ganz so schön wieMan ist sich Doch uns ward manchesNicht jeder Adelsschild ist blank, Der Fleck kam von derWer frägt nach Wenn nur dasStreng ist man gegen die, die streiken, Doch sanft mit Schultz und mitMit Jetzt kam ein böses Interim.Die Es kostet viel und geht oft schief.Es kämen noch das U, V, W, Das X in diesem Abc, Doch die Blamage langt wohl schon Auch ohne Z und Y.",173,Jahrhundertwende,Jahrhundertwende
12788,"Lichtenstein, Alfred_Die Zeichen_1914","Lichtenstein, Alfred",Die Zeichen,1914,Die Stunde rückt vor. Der Maulwurf zieht um. Der Mond tritt wütend hervor. Das Meer stürzt um.Das Kind wird Greis. Die Tiere beten und flehen. Den Bäumen ist der Boden unter den Füßen zu heiß. Der Verstand bleibt stehen.Die Straße stirbt ab. Die stinkende Sonne sticht. Die Luft wird knapp. Das Herz zerbricht.Der Hund hält erschrocken den Mund. Der Himmel liegt auf der falschen Seite. Den Sternen wird das Treiben zu bunt. Die Droschken suchen das Weite.,90,Expressionismus,Expressionismus
41430,"Trakl, Georg_St.-Peters-Friedhof_1900","Trakl, Georg",St.-Peters-Friedhof,1900,"Ringsum ist Felseneinsamkeit. Des Todes bleiche Blumen schauern Auf Gräbern, die im Dunkel trauern – Doch diese Trauer hat kein Leid.Der Himmel lächelt still herab In diesen traumverschlossenen Garten, Wo stille Pilger seiner warten. Es wacht das Kreuz auf jedem Grab.Die Kirche ragt wie ein Gebet Vor einem Bilde ewiger Gnaden, Manch Licht brennt unter den Arkaden, Das stumm für arme Seelen fleht –Indes die Bäume blüh'n zur Nacht, Daß sich des Todes Antlitz hülle In ihrer Schönheit schimmernde Fülle, Die Tote tiefer träumen macht.",96,Jahrhundertwende,Expressionismus
12782,"Lichtenstein, Alfred_Regennacht_1913","Lichtenstein, Alfred",Regennacht,1913,"Der Tag ist futsch. Der Himmel ist ersoffen. Wie falsche Perlen liegen kleine Stumpen Zerhackten Lichts umher und machen offen Ein wenig Straße, ein paar Häuserklumpen.Verfault ist alles sonst und aufgefressen Von schwarzem Nebel, der wie eine Mauer Herunterfällt und morsch ist. Und im Pressen Bröckelt wie Schutt der Regen – dichter – grauer –Als wollte jeden Augenblick die ganze Verseuchte Finsternis zusammensinken. Wie eine seltsame, ertrunkne Pflanze Unten im Sumpf siehst du ein Auto blinken.Die ältsten Huren kommen angekrochen Aus nassen Schatten – schwindsüchtige Kröten. Dort schleicht eins. Dorten wird ein Schein erstochen. Der Regensturz will alles übertöten ...Du aber wanderst durch die Wüsteneien. Dein Kleid hängt schwer. Durchnäßt sind deine Schuhe. Dein Auge ist verrückt von Gier und Schreien. Und dieses treibt dich – und du hast nicht Ruhe:Vielleicht erscheint inmitten düstrer Feuer Der Teufel selbst in der Gestalt des Schweines. Vielleicht geschieht etwas ganz ungeheuer Blödsinniges, Brutales, Hundsgemeines.",172,Expressionismus,Expressionismus
36087,"Bierbaum, Otto Julius_Egomet quidem_1887","Bierbaum, Otto Julius",Egomet quidem,1887,"Nierenkrank; nervös; herzleidend; Korpulent; libidinos; rhachitisch; Nikotinisiert; theeïnvergiftet; Ohne irgendwelches Bankguthaben; Religionslos; unbeamtet; ohne Titel; Unstät, hier bald, dort bald, nirgendwo zu Hause; Egomet quidem.Aber: Nieren, Nerven, Herz: den ganzen Kadaver, Alles Trübe, Giftige, Kummerträchtige, Alles Gemeine gerne und leicht vergessend, Angerührt vom Genius des Augenblickes: Stolz dann, frei dann, Grandseigneur und heiter, Dionysisch fromm mit allen Göttern Auf vertrautestem Fuße; allen Teufeln Kennermäßig tolerant leutselig Zugetan wie alten treuen Dienern Und verliebt in alles Menschliche: Egomet quidem.",110,Naturalismus,Jahrhundertwende
